Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
BIN1		9	9	3609	0.2%	No
AMT		7	7	3609	0.2%	No
CEP20		8	8	3288	0.2%	No
AMY1A		4	4	3081	0.1%	No
AMY1C		2	2	2048	<0.1%	No
AMY2A		13	13	3488	0.4%	No
MKNK1		8	8	3288	0.2%	Yes
TSHR		52	50	7303	0.7%	Yes
TSHB		2	2	1131	0.2%	No
TSNAX		9	9	3318	0.3%	No
TSPYL1		15	15	3751	0.4%	No
AMY2B		5	5	2566	0.2%	No
LY6D		5	5	2120	0.2%	No
ANGPT1		31	31	3941	0.8%	No
TSG101		14	14	3372	0.4%	No
ANGPT2		7	7	3472	0.2%	No
ANK1		68	66	4166	1.6%	No
ANK2		103	92	4214	2.2%	No
ANK3		128	103	4192	2.5%	No
CDH23-AS1		1	1	1066	<0.1%	No
TSC2		102	96	7803	1.2%	Yes
NTAN1		7	7	3372	0.2%	No
GFUS		10	8	3795	0.2%	No
TST		5	5	2543	0.2%	No
DNAJC7		17	17	3451	0.5%	No
TTC1		3	3	1382	0.2%	No
TTC4		16	16	3372	0.5%	No
TTC3		45	39	3993	1.0%	No
ANPEP		36	34	4066	0.8%	No
SLC25A4		9	9	3372	0.3%	No
SLC25A5		5	4	1799	0.2%	No
SLC25A6		5	5	2865	0.2%	No
EIPR1		10	10	3658	0.3%	No
OR6A2		58	56	6550	0.9%	No
PHLDA2		1	1	216	0.5%	No
TUB		14	14	3774	0.4%	No
TTPA		11	11	3472	0.3%	No
TUBA4A		6	6	2601	0.2%	No
TTR		1	1	103	1.0%	No
TUBA3C		22	22	3925	0.6%	No
TTF1		10	9	2687	0.3%	No
SERHL2		4	4	2930	0.1%	No
TTN		1078	732	4474	16.4%	No
FOXO6		3	3	402	0.7%	No
TTK		16	16	4011	0.4%	No
TUFT1		7	6	1789	0.3%	No
TULP2		16	16	3300	0.5%	No
TULP1		18	18	3704	0.5%	No
L3MBTL4		23	23	3688	0.6%	No
TULP3		21	21	4071	0.5%	No
UBLCP1		12	12	3774	0.3%	No
SLC25A46		3	3	453	0.7%	No
TUBB2A		7	7	2679	0.3%	No
GJB7		5	5	3318	0.2%	No
TUFM		12	12	3609	0.3%	No
TUBG1		7	7	3102	0.2%	No
C14ORF28		2	2	453	0.4%	No
TYK2		34	33	3825	0.9%	Yes
TXNRD1		13	12	3184	0.4%	No
TYR		25	24	3825	0.6%	No
TYMS		4	4	3051	0.1%	No
ACOT12		6	6	3184	0.2%	No
TWIST1		10	10	3318	0.3%	No
CHURC1-FNTB		6	6	2048	0.3%	No
HIRA		19	17	3477	0.5%	Yes
MIA-RAB4B		1	1	237	0.4%	No
TNFRSF4		2	2	402	0.5%	No
TNFSF4		12	12	3437	0.3%	No
ZNF682		11	11	3102	0.4%	No
RAB4B-EGLN2		1	1	237	0.4%	No
TXN		4	4	3372	0.1%	No
TXK		10	10	3709	0.3%	No
ZNF563		14	14	3609	0.4%	No
IGFN1		24	24	3692	0.7%	No
CBLL2		12	12	3825	0.3%	No
RPS10-NUDT3		2	2	1324	0.2%	No
LDHAL6B		2	2	453	0.4%	No
TIGD7		5	5	1568	0.3%	No
BBIP1		1	1	216	0.5%	No
SPC24		6	4	3081	0.1%	No
IFI27L1		2	2	319	0.6%	No
SOWAHA		3	3	246	1.2%	No
TMEM67		27	23	3990	0.6%	No
ZNF816-ZNF321P		1	1	216	0.5%	No
SHROOM1		9	9	3160	0.3%	No
HSPE1-MOB4		2	2	1066	0.2%	No
NOMO3		5	5	3372	0.1%	No
GPR153		19	19	3609	0.5%	No
SCARF2		3	3	1489	0.2%	No
ZNF559-ZNF177		3	3	1033	0.3%	No
TMEM256-PLSCR3		5	5	2390	0.2%	No
THEGL		3	3	453	0.7%	No
LRIG3		31	31	4011	0.8%	Yes
PEDS1		6	6	1324	0.5%	No
PEDS1-UBE2V1		5	5	2048	0.2%	No
TRAPPC6B		3	3	2865	0.1%	No
SDR9C7		6	6	3588	0.2%	No
ACSM2A		15	15	3421	0.4%	No
LRRC75B		3	3	453	0.7%	No
DNAAF1		13	13	4111	0.3%	No
ZNF784		3	3	2036	0.1%	No
DCUN1D3		4	4	2148	0.2%	No
VWC2		6	6	639	0.9%	No
SLC25A35		5	5	1676	0.3%	No
NUP210L		54	50	4050	1.2%	No
C16ORF95		4	4	1799	0.2%	No
MRPL11		7	7	3609	0.2%	No
CCDC63		18	18	3774	0.5%	No
GCNA		22	20	3925	0.5%	No
MRPL9		12	12	3102	0.4%	No
MYO18A		51	46	4114	1.1%	Yes
MRPL1		5	5	3372	0.1%	No
ANKDD1A		8	8	3102	0.3%	No
NDRG4		9	9	3825	0.2%	No
PPTC7		11	11	3081	0.4%	No
SCYL2		36	36	4071	0.9%	No
RUFY2		16	16	3421	0.5%	No
TMEM204		8	8	3588	0.2%	No
RABL6		13	9	3102	0.3%	No
RHBDF2		31	31	3825	0.8%	No
TMED6		7	7	3748	0.2%	No
KANSL3		24	24	3860	0.6%	No
HECTD3		17	15	3895	0.4%	No
YEATS2		37	37	3928	0.9%	No
BEND5		11	11	3391	0.3%	No
TRMU		8	8	3388	0.2%	No
ARHGAP10		9	9	3081	0.3%	No
C10ORF99		5	5	3102	0.2%	No
RPAP3		13	11	3588	0.3%	No
MREG		4	4	930	0.4%	No
DYNC2H1		101	94	4214	2.2%	No
TMEM179B		4	4	3081	0.1%	No
FAM111B		21	21	3825	0.5%	No
SHC4		20	17	3825	0.4%	No
SLC26A6		13	13	3588	0.4%	No
GALNT18		8	8	3141	0.3%	No
SLC26A10		9	9	3068	0.3%	No
CTXN2		1	1	237	0.4%	No
TIFA		16	14	3609	0.4%	No
PINK1		19	19	3558	0.5%	No
AK7		21	20	3761	0.5%	No
SH2D4B		10	10	2843	0.4%	No
WNT4		6	6	2865	0.2%	No
LUC7L		3	3	502	0.6%	No
FRMD4A		32	32	3855	0.8%	No
CYTL1		5	5	518	1.0%	No
PACS1		23	23	3928	0.6%	No
RBM22		8	8	3418	0.2%	No
ROGDI		9	9	3877	0.2%	No
NSUN5		10	10	3372	0.3%	No
C22ORF46		5	4	1789	0.2%	No
HAO1		15	15	3132	0.5%	No
CHMP6		1	1	1066	<0.1%	No
KDM4D		7	7	3372	0.2%	No
ARSJ		7	5	2388	0.2%	No
EFCAB1		4	4	237	1.7%	No
IARS2		24	22	3925	0.6%	No
SRD5A3		4	4	3102	0.1%	No
RADIL		13	13	3795	0.3%	No
AKIRIN1		6	6	3102	0.2%	No
TMC4		22	22	3795	0.6%	No
VAC14		27	27	3688	0.7%	No
PANK3		4	4	1501	0.3%	No
MAP7D3		12	12	4011	0.3%	No
NCR3LG1		6	6	3267	0.2%	No
MCPH1		14	12	2843	0.4%	No
TIMM50		7	7	3102	0.2%	No
NUDCD2		8	8	3588	0.2%	No
ACTR8		14	12	3081	0.4%	No
ZNF321P		3	3	1252	0.2%	No
ATP5IF1		7	7	3372	0.2%	No
FAM102A		12	10	3588	0.3%	No
TMED7-TICAM2		2	2	1066	0.2%	No
TUT7		52	45	3942	1.1%	No
FN3KRP		15	15	3472	0.4%	No
NLRX1		24	24	3378	0.7%	No
VEPH1		15	15	3332	0.5%	No
ZNF329		17	16	3855	0.4%	No
OGFOD2		5	5	2843	0.2%	No
FASTKD1		21	21	4011	0.5%	No
SMC6		31	28	3472	0.8%	No
VTCN1		10	10	6334	0.2%	Yes
PRUNE2		106	86	4214	2.0%	No
HEATR4		19	19	3472	0.5%	No
CCDC60		20	20	3874	0.5%	No
R3HDM4		3	3	2120	0.1%	No
TMEM259		4	4	1986	0.2%	No
OR10P1		6	6	3051	0.2%	No
CERS3		8	8	3288	0.2%	No
NEIL1		19	19	3575	0.5%	No
PPP1R3B		10	10	3588	0.3%	No
HSPBAP1		17	15	2490	0.6%	No
TERF2IP		16	16	3548	0.5%	No
DHX40		13	12	3318	0.4%	No
ICE2		12	10	3372	0.3%	No
PLEKHF2		11	11	3532	0.3%	No
C3ORF52		16	16	3432	0.5%	No
PARP8		27	25	3588	0.7%	No
CLYBL		14	14	3658	0.4%	No
SHOC1		40	37	3990	0.9%	No
MGME1		15	14	3774	0.4%	No
KIAA1958		15	12	3828	0.3%	No
GAL3ST4		10	10	2947	0.3%	No
ZNF322		6	6	3081	0.2%	No
QTRT2		9	9	3267	0.3%	No
MANEA		6	6	2965	0.2%	No
YRDC		2	2	237	0.8%	No
ZC2HC1C		8	8	3588	0.2%	No
GALNT12		18	18	3546	0.5%	No
HIPK4		4	4	1810	0.2%	No
ZMAT4		1	1	186	0.5%	No
SENP5		10	10	4011	0.2%	No
ZNF560		33	31	4106	0.8%	No
ZYG11B		9	9	3388	0.3%	No
TMEM190		10	10	3102	0.3%	No
SLFN12L		32	27	3688	0.7%	No
SLC5A8		7	7	3367	0.2%	No
REEP1		4	4	1789	0.2%	No
ACD		7	7	3244	0.2%	No
GPBP1		11	11	3046	0.4%	No
RAPH1		17	14	3663	0.4%	No
FOXP2		18	16	3963	0.4%	No
RTL10		3	3	1883	0.2%	No
ZDHHC14		2	2	423	0.5%	No
CENPU		2	2	1282	0.2%	No
SAP30L		1	1	817	0.1%	No
MSANTD2		7	7	3081	0.2%	No
STEAP4		1	1	100	1.0%	No
DERL3		1	1	1066	<0.1%	No
GUSBP11		1	1	982	0.1%	No
CPA5		2	2	316	0.6%	No
CLEC6A		8	8	3609	0.2%	No
ENPP6		11	9	3609	0.2%	No
SLC22A31		4	4	237	1.7%	No
NBEAL1		70	59	4352	1.4%	No
LRP5L		8	8	3609	0.2%	No
FAM114A1		13	13	3475	0.4%	No
UBE3D		15	15	3588	0.4%	No
TSTD2		10	10	2925	0.3%	No
FNDC9		6	6	3102	0.2%	No
DDX60L		23	19	3925	0.5%	No
ZNF597		12	12	3432	0.3%	No
IL34		11	11	3648	0.3%	No
BICDL2		8	8	3558	0.2%	No
SYT8		11	11	3669	0.3%	No
ZNF782		14	14	3825	0.4%	No
TMEM237		1	1	216	0.5%	No
CDK15		9	9	3609	0.2%	No
KIR3DX1		4	4	3102	0.1%	No
CASP12		2	2	316	0.6%	No
DTD1		5	5	3372	0.1%	No
RTN4R		8	8	3372	0.2%	No
MIDN		6	6	2121	0.3%	No
C19ORF38		1	1	237	0.4%	No
TMEM255B		6	6	3432	0.2%	No
ANKRD13D		12	12	3558	0.3%	No
ANKRD42		6	6	3588	0.2%	No
DUS3L		19	18	3825	0.5%	No
DDX60		43	38	4227	0.9%	No
ITLN1		8	8	3609	0.2%	No
KIF21A		27	25	3435	0.7%	No
PMEPA1		16	14	3588	0.4%	No
FAM24B		1	1	817	0.1%	No
ARNTL2		8	8	3081	0.3%	No
CARMIL1		33	30	3734	0.8%	No
TENT5A		12	12	3588	0.3%	No
CDKN2AIP		15	11	3372	0.3%	No
ZNF280C		22	20	3825	0.5%	No
ANKRD10		8	6	3372	0.2%	No
CA10		5	5	2069	0.2%	No
PPP1R9A		43	43	3898	1.1%	No
MEIOB		4	4	3102	0.1%	No
RABGAP1L		24	24	4284	0.6%	No
DUSP22		6	6	2337	0.3%	Yes
HMCES		13	10	3254	0.3%	No
G3BP2		20	20	3609	0.6%	No
DENND4B		55	53	3205	1.7%	No
ENY2		1	1	186	0.5%	No
FERMT1		22	22	3725	0.6%	No
OTUB1		5	5	3081	0.2%	No
VPS50		19	19	3874	0.5%	No
LPCAT4		14	14	3575	0.4%	No
FAM9A		12	12	3383	0.4%	No
MRC2		33	33	4011	0.8%	No
ASAP3		14	14	3418	0.4%	No
SDR39U1		6	6	3609	0.2%	No
KLHL21		8	8	3588	0.2%	No
XAB2		16	16	3504	0.5%	No
PRR5		2	2	1573	0.1%	No
SV2A		21	21	3890	0.5%	No
KIF16B		53	50	3928	1.3%	No
SRGAP3		20	19	3795	0.5%	No
MTMR8		26	26	3825	0.7%	No
OTOG		20	20	3874	0.5%	No
SLC35E2A		6	6	2865	0.2%	No
OLFML3		18	16	3588	0.4%	No
AP5Z1		13	13	3607	0.4%	No
DOCK10		57	50	4214	1.2%	No
MRPS22		6	6	2390	0.3%	No
RBM19		36	36	3709	1.0%	No
EMSY		46	44	4176	1.1%	Yes
FAM9C		6	6	2865	0.2%	No
SGSM2		20	20	3855	0.5%	No
TASP1		19	19	3709	0.5%	No
MFF		13	13	3674	0.4%	No
FAM9B		10	10	3774	0.3%	No
KBTBD11		4	4	472	0.8%	No
RNF10		31	29	3588	0.8%	No
OR5F1		2	2	2048	<0.1%	No
OR5AP2		7	7	1722	0.4%	No
C5ORF15		5	5	2048	0.2%	No
PRTFDC1		7	7	3025	0.2%	No
SEC16A		38	32	3985	0.8%	No
NT5M		2	2	2048	<0.1%	No
NIT2		8	8	3116	0.3%	No
THUMPD1		3	3	1352	0.2%	No
TTC27		16	16	3748	0.4%	No
TRMT1		27	27	3674	0.7%	No
STAP2		9	9	3102	0.3%	No
SMYD2		7	7	3093	0.2%	No
SUPT7L		8	8	3081	0.3%	No
SMPD4		11	10	3102	0.3%	No
OR52B6		6	6	3558	0.2%	No
ATP2C2		25	22	3653	0.6%	No
AMBRA1		40	37	3985	0.9%	No
TMCC2		14	14	3669	0.4%	No
ZDHHC7		7	7	3391	0.2%	No
POMGNT1		16	16	3599	0.4%	No
ARHGAP44		5	5	2201	0.2%	No
FAM20B		5	5	2048	0.2%	No
MEPE		6	6	3267	0.2%	No
NCAPD2		14	14	3472	0.4%	No
LHX9		17	17	3928	0.4%	No
ARNT2		5	4	2234	0.2%	No
OTUD7B		30	30	3877	0.8%	No
PNRC2		2	2	817	0.2%	No
ZNF407		43	43	3885	1.1%	No
HELZ		62	54	4279	1.3%	No
TNFSF11		2	2	246	0.8%	No
RGS20		14	14	3475	0.4%	No
TMEM225		4	4	2865	0.1%	No
OR8D4		13	13	3588	0.4%	No
SLC39A4		13	13	3669	0.4%	No
CENATAC		10	10	3372	0.3%	No
RGMA		7	7	3081	0.2%	No
WDR93		25	25	3934	0.6%	No
PARP6		23	21	3591	0.6%	No
ANXA1		15	15	3318	0.5%	No
KRBOX4		9	9	2870	0.3%	No
TBC1D22B		16	16	3372	0.5%	No
ANXA2		3	3	1468	0.2%	No
G2E3		15	15	3564	0.4%	No
LRRC40		15	14	3653	0.4%	No
SHD		21	21	3795	0.6%	No
SYBU		46	45	4230	1.1%	No
PAN2		28	28	4176	0.7%	No
ANXA3		14	14	3472	0.4%	No
ZBTB5		25	25	3472	0.7%	No
CHD7		76	75	4292	1.7%	No
ANXA4		12	12	3609	0.3%	No
IQSEC1		17	17	3825	0.4%	No
ANXA5		7	7	3202	0.2%	No
ZBTB40		23	22	3475	0.6%	No
DEPDC1		20	20	3709	0.5%	No
ANXA6		17	17	3588	0.5%	No
KIF14		49	45	4171	1.1%	No
LPGAT1		14	14	3372	0.4%	No
MFN2		12	12	3609	0.3%	No
PLPP1		8	8	3472	0.2%	No
XYLB		6	6	2865	0.2%	No
PLPP2		7	7	3472	0.2%	No
OXSR1		6	6	3202	0.2%	No
DLEC1		35	31	4171	0.7%	No
EXOG		4	4	1519	0.3%	No
ABHD17A		8	7	3372	0.2%	No
B3GLCT		9	9	3033	0.3%	No
CABLES2		20	20	1182	1.7%	No
SEH1L		14	13	3691	0.4%	No
NAT8L		6	6	3267	0.2%	No
LRRC66		14	14	3081	0.5%	No
FLVCR2		7	7	3081	0.2%	No
KIF18A		21	21	4111	0.5%	No
ANXA7		10	9	3181	0.3%	No
FAM20C		48	48	6137	0.8%	No
ZNF93		14	14	3372	0.4%	No
ANXA11		13	13	4114	0.3%	No
HDHD3		2	2	1303	0.2%	No
NAA16		14	14	3637	0.4%	No
ANXA13		14	14	3712	0.4%	No
AOAH		16	16	1622	1.0%	No
ATXN7L3		21	21	2981	0.7%	No
OSGEP		1	1	982	0.1%	No
ACSS3		34	30	3985	0.8%	No
AOC2		16	14	3658	0.4%	No
CEACAM19		8	8	3167	0.3%	No
BTBD2		2	2	1883	0.1%	No
TANGO6		25	22	3691	0.6%	No
SPANXN5		10	10	3825	0.3%	No
AOX1		32	32	3939	0.8%	No
SLC25A12		20	20	3318	0.6%	No
CCNJL		3	3	1303	0.2%	No
MAFB		1	1	1066	<0.1%	Yes
APAF1		38	34	3993	0.9%	No
PLA2G4C		4	4	2086	0.2%	No
CD302		1	1	216	0.5%	No
PUM3		33	33	3534	0.9%	No
NUDT2		4	4	3081	0.1%	No
NOP14		35	26	4111	0.6%	No
RAB20		5	5	3372	0.1%	No
HMBOX1		14	14	3885	0.4%	No
LYAR		12	12	3167	0.4%	No
APOF		12	11	3825	0.3%	No
FAM193A		32	29	3872	0.7%	No
P2RY14		2	2	1303	0.2%	No
STOX2		17	17	3988	0.4%	No
RDH16		5	5	3391	0.1%	No
RBM8A		15	15	3825	0.4%	No
KLF7		19	19	3725	0.5%	No
PRDM8		20	20	3860	0.5%	No
PRDM9		32	32	3483	0.9%	No
DCLRE1A		14	14	3604	0.4%	No
RUVBL1		14	12	3877	0.3%	No
ARHGAP25		12	12	3928	0.3%	No
GOLGA5		17	17	4011	0.4%	Yes
PDE8B		9	9	3318	0.3%	No
HS3ST3B1		2	2	1799	0.1%	No
ASMTL		17	17	3609	0.5%	Yes
HS3ST4		17	17	3162	0.5%	No
NPFF		1	1	1066	<0.1%	No
CDK13		26	23	3774	0.6%	No
LUZP2		16	16	3937	0.4%	No
TRIML1		12	12	3181	0.4%	No
PSMG2		7	7	3372	0.2%	No
TMPRSS11A		20	18	3828	0.5%	No
APBA1		28	26	3588	0.7%	No
NHP2		5	5	3372	0.1%	No
ADPRM		4	4	3372	0.1%	No
APBA2		37	36	4111	0.9%	No
PIGV		7	7	2501	0.3%	No
DTWD1		12	12	3691	0.3%	No
BBX		35	32	3990	0.8%	No
APBB1		16	16	3669	0.4%	No
APBB2		8	8	3475	0.2%	No
INTS8		33	30	3516	0.9%	No
PRDM10		40	36	3537	1.0%	No
APC		263	206	10435	2.0%	Yes
NLRP2		43	43	4114	1.0%	No
PRDM11		4	4	2264	0.2%	No
TCTN1		18	18	3767	0.5%	No
FBXO47		9	9	2362	0.4%	No
APCS		5	5	3102	0.2%	No
TMEM127		6	6	5290	0.1%	Yes
CERS4		11	11	3774	0.3%	No
AIRE		5	5	2930	0.2%	No
POGLUT1		7	7	3102	0.2%	No
ADIPOR2		7	7	3102	0.2%	No
BCAS4		2	2	237	0.8%	No
USO1		28	25	3318	0.8%	No
CRYZL1		9	9	3774	0.2%	No
GPR85		6	6	3372	0.2%	No
PGBD5		20	20	3795	0.5%	Yes
APEH		14	11	2522	0.4%	No
MAGEC1		45	38	4227	0.9%	No
APEX1		17	17	3825	0.4%	No
GPR173		7	7	3081	0.2%	No
ZNF416		4	4	3372	0.1%	No
BIRC2		11	9	3604	0.2%	No
RNF126		5	5	2865	0.2%	No
FAM118B		11	11	3756	0.3%	No
PLPP3		5	5	1342	0.4%	No
STC2		5	5	3081	0.2%	No
GFPT2		30	29	3372	0.9%	No
ZNF692		16	16	3609	0.4%	No
RIC3		10	10	3588	0.3%	No
WDR1		7	7	3421	0.2%	No
CADPS		48	48	3985	1.2%	No
AMMECR1		8	8	3898	0.2%	No
USP3		5	5	3102	0.2%	No
HSD17B6		6	6	2865	0.2%	No
MVP		14	14	4071	0.3%	No
TYRO3		18	18	3795	0.5%	Yes
UNC5C		26	26	4111	0.6%	No
FGF19		12	8	3488	0.2%	Yes
RTCA		5	5	3102	0.2%	No
SLC23A2		26	17	3504	0.5%	No
SKAP1		11	11	2272	0.5%	No
DNAH17		128	112	4171	2.7%	No
SLC23A1		8	8	3588	0.2%	No
SNX31		12	12	3928	0.3%	No
CCDC158		24	22	4088	0.5%	No
DNM1P33		2	2	507	0.4%	No
TULP4		35	35	3993	0.9%	No
BIRC3		21	20	6211	0.3%	Yes
GDAP1		13	13	3609	0.4%	No
ZNF446		5	5	3318	0.2%	No
C1ORF54		6	6	3372	0.2%	No
BCL6B		24	23	3588	0.6%	No
HIF1AN		6	6	3432	0.2%	No
SLC12A9		15	14	3825	0.4%	No
XIAP		12	12	5142	0.2%	Yes
GNG2		1	1	1066	<0.1%	No
BIRC5		4	4	2285	0.2%	No
DDX27		23	21	3607	0.6%	No
COQ8A		16	16	3421	0.5%	No
FAM184A		27	24	3925	0.6%	No
APLP1		24	22	3769	0.6%	No
PRPF40A		22	20	3265	0.6%	No
EFL1		15	14	3825	0.4%	No
CTNNBIP1		1	1	216	0.5%	No
DENND4C		30	30	3704	0.8%	No
APLP2		18	18	3877	0.5%	No
SCRN3		7	7	3081	0.2%	No
FAT4		105	98	4395	2.2%	Yes
APOA1		10	10	2865	0.3%	No
NPLOC4		12	10	2968	0.3%	No
KIF15		31	30	4111	0.7%	No
APOA2		4	4	2450	0.2%	No
URGCP		37	19	4174	0.5%	No
TOMM22		6	6	3372	0.2%	No
APOA4		6	6	2450	0.2%	No
CDC37L1		12	12	3609	0.3%	No
CHPT1		14	14	3588	0.4%	No
CCDC121		8	8	3202	0.2%	No
APOB		159	138	4176	3.3%	No
TP63		39	38	6864	0.6%	Yes
HS3ST1		8	8	3081	0.3%	No
APOBEC1		8	8	3372	0.2%	No
USP15		31	31	3825	0.8%	No
ARMC7		10	10	3774	0.3%	No
PSMG1		10	10	392	2.6%	No
HS3ST3A1		8	8	3421	0.2%	No
MFN1		14	14	3372	0.4%	No
RFXANK		12	12	3609	0.3%	No
HS3ST2		15	15	3688	0.4%	No
GPATCH2L		7	7	2501	0.3%	No
TMEM53		10	10	3674	0.3%	No
ADAMTS9		55	50	4279	1.2%	No
SEPTIN7P2		4	4	2555	0.2%	No
NR1H4		16	16	3454	0.5%	No
PCDHGB4		32	29	3825	0.8%	No
NUP153		39	38	4088	0.9%	No
ZRSR2P1		19	17	3472	0.5%	No
NR1I3		11	11	3588	0.3%	No
AKR1C3		5	5	3472	0.1%	No
NR1D2		14	13	3874	0.3%	No
UBA52		7	7	3102	0.2%	No
KCNK5		12	12	3825	0.3%	No
CLEC2B		1	1	1066	<0.1%	No
CCS		17	17	4055	0.4%	No
DCHS1		68	59	4088	1.4%	No
UBB		1	1	1066	<0.1%	No
PTCH2		19	18	3102	0.6%	No
PEX26		7	7	3372	0.2%	No
APOC1		1	1	216	0.5%	No
AQP8		5	5	2865	0.2%	No
NBPF1		40	36	3609	1.0%	No
RNASEH2B		7	7	3051	0.2%	No
PAOX		4	4	3372	0.1%	No
PPP4R3A		25	25	4041	0.6%	No
APOC2		1	1	1066	<0.1%	No
GALNT14		16	15	3378	0.4%	No
NUDT8		3	3	2390	0.1%	No
APOC3		1	1	1066	<0.1%	No
APOC4		3	3	2865	0.1%	No
UNC93A		14	14	3839	0.4%	No
IWS1		24	24	4011	0.6%	No
SNRNP25		1	1	216	0.5%	No
SLC30A6		9	9	3081	0.3%	No
NDNF		20	20	3658	0.5%	No
APOD		3	3	1352	0.2%	No
SOX18		1	1	103	1.0%	No
ARMT1		9	9	3372	0.3%	No
DPM3		6	6	2522	0.2%	No
MED12		173	164	7681	2.1%	Yes
OGFRL1		10	10	2874	0.3%	No
OASL		28	25	4114	0.6%	No
MED13		75	55	4158	1.3%	No
TNFAIP8L2		5	5	3588	0.1%	No
U2AF1		22	22	6409	0.3%	Yes
RNASET2		6	5	3081	0.2%	No
TNFSF15		4	4	2329	0.2%	No
OCEL1		1	1	1066	<0.1%	No
TYRP1		28	27	3688	0.7%	No
SSNA1		6	6	3372	0.2%	No
THRAP3		29	27	3669	0.7%	No
LIMS2		12	12	3609	0.3%	No
SH3TC2		16	16	3885	0.4%	No
AOC3		27	27	3928	0.7%	No
VSTM4		13	13	3372	0.4%	No
FGFBP1		3	3	1595	0.2%	No
SOCS1		4	4	3283	0.1%	Yes
DOP1B		45	37	4227	0.9%	No
UBE2D1		3	3	2048	0.1%	No
NUMB		19	19	3899	0.5%	No
UBE2B		3	3	1303	0.2%	No
UBE2D3		5	5	2865	0.2%	No
RCE1		5	5	1619	0.3%	No
UBE2D2		11	11	3609	0.3%	No
HNRNPDL		11	11	3437	0.3%	No
THOC1		18	18	3885	0.5%	No
UBE2E2		1	1	216	0.5%	No
UBE2E1		4	4	3372	0.1%	No
PDE5A		28	23	4050	0.6%	No
REC8		22	22	3709	0.6%	No
APOH		13	13	3825	0.3%	No
APP		36	33	4114	0.8%	No
APRT		3	3	453	0.7%	No
KLK3		9	9	3925	0.2%	No
FAS		11	11	3704	0.3%	Yes
FASLG		8	8	3609	0.2%	No
SHROOM2		71	59	4279	1.4%	No
AQP1		1	1	216	0.5%	No
AQP2		4	4	1673	0.2%	No
UBC		45	43	3721	1.2%	No
NCOA1		28	27	4050	0.7%	Yes
LAMTOR3		1	1	216	0.5%	No
UBA7		46	34	3941	0.9%	No
CHRD		19	19	3609	0.5%	No
UBA1		31	29	3925	0.7%	No
ABCB11		56	51	4171	1.2%	No
RBX1		1	1	186	0.5%	No
UBE2A		8	8	3609	0.2%	No
EIF3B		15	15	3895	0.4%	No
DGCR2		19	19	3890	0.5%	No
EIF3C		4	4	3081	0.1%	No
RGS10		6	6	2965	0.2%	No
UBE2L3		3	3	2108	0.1%	No
PTBP3		19	19	3609	0.5%	No
IRS2		43	40	3836	1.0%	Yes
RGS7		42	40	3928	1.0%	No
EIF3A		34	30	3928	0.8%	No
KCNE2		5	5	3372	0.1%	No
EIF3G		11	11	3372	0.3%	No
SCO2		5	5	1880	0.3%	No
RGS13		3	3	1252	0.2%	No
RGS12		30	28	4214	0.7%	No
EIF3H		2	2	1489	0.1%	No
RHAG		7	7	3688	0.2%	No
UBE2V2		9	9	3100	0.3%	No
EIF3D		9	8	3051	0.3%	No
RGS16		13	13	3081	0.4%	No
EIF3F		4	4	3081	0.1%	No
UBE2V1		3	3	1066	0.3%	No
AQP3		2	2	2048	<0.1%	No
SLC12A6		33	32	3885	0.8%	No
AQP4		5	5	3372	0.1%	No
AQP5		7	7	3609	0.2%	No
AQP6		5	5	1986	0.3%	No
AQP7		9	9	3475	0.3%	No
AQP9		1	1	60	1.7%	No
AR		88	83	7554	1.1%	Yes
ABCC6		21	21	3825	0.5%	No
ARAF		45	44	7592	0.6%	Yes
CHAC2		2	2	1066	0.2%	No
ALDH4A1		7	7	3081	0.2%	No
UBE2G2		1	1	1066	<0.1%	No
UBE2G1		4	4	2099	0.2%	No
UBE2I		1	1	237	0.4%	No
DMTF1		5	5	1342	0.4%	No
TNKS		20	18	3284	0.5%	No
UBE2H		2	2	423	0.5%	No
PPP4R1		4	3	453	0.7%	No
RHO		15	15	3774	0.4%	No
SUMO1		4	4	2865	0.1%	No
VAMP8		2	2	281	0.7%	No
VAMP4		4	4	2968	0.1%	No
UBTF		28	25	3418	0.7%	No
SLC4A4		34	34	3931	0.9%	No
GRK1		33	30	3885	0.8%	No
UBP1		20	18	3688	0.5%	No
EIF4G3		38	37	4114	0.9%	No
RIT2		6	6	3051	0.2%	No
STX10		8	8	3372	0.2%	No
RLN1		5	5	2606	0.2%	No
BECN1		5	5	2099	0.2%	No
UCHL3		6	6	3372	0.2%	No
STX16		4	4	1983	0.2%	No
RIT1		14	14	4452	0.3%	Yes
STX11		7	7	3372	0.2%	No
RING1		3	3	1789	0.2%	No
RICTOR		93	93	7734	1.2%	Yes
ARCN1		6	6	3588	0.2%	No
TRIM23		15	15	3588	0.4%	No
AREG		4	4	2865	0.1%	No
ARF1		11	11	3709	0.3%	No
ARF3		3	3	1883	0.2%	No
ARF4		1	1	1066	<0.1%	No
PYCARD-AS1		1	1	103	1.0%	No
ARL4D		2	2	276	0.7%	No
B4GALNT4		29	28	3680	0.8%	No
RHD		9	9	3812	0.2%	No
UBE3A		22	20	4044	0.5%	No
RHCE		4	4	3372	0.1%	No
RHEB		11	11	5139	0.2%	Yes
EIF3I		23	23	3609	0.6%	No
